Company Name,Company URL,About,Summary,Industry,Location
Whole Foods Market,https://www.linkedin.com/company/whole-foods-market/,,Nourishing people and the planet • Specialties: software development,Retail,"Austin, TX"
FICO,https://www.linkedin.com/company/fico/,,FICO is an analytics company helping businesses make better decisions that drive higher levels of growth and success • Specialties: B2B Enterprise Software,Software Development,"Bozeman, Montana"
Epic,https://www.linkedin.com/company/epic1979/,,"Join us in our mission to help the world get well, help the world stay well, and help future generations be healthier.  We hire smart and motivated people from all academic majors to code, test, and implement healthcare software that hundreds of millions of patients and doctors rely on to improve care and ultimately...",Software Development,"Verona, WI"
Sony Electronics,https://www.linkedin.com/company/sony-electronics/,,"Fill the world with emotion, through the power of creativity and technology • Specialties: Consumer Software",Computers and Electronics Manufacturing,San Diego - US | Tokyo - JP
Broadcom,https://www.linkedin.com/company/broadcom/,,Specialties: Software,Semiconductor Manufacturing,"Palo Alto, California"
ZF Group,https://www.linkedin.com/company/zf-group/,,Specialties: Software,Motor Vehicle Parts Manufacturing,"Friedrichshafen, Baden-Württemberg"
Kohl's,https://www.linkedin.com/company/kohls-department-stores/,,It’s no secret that our associates love #LifeAtKohls and we know you will too • Specialties: Software Engineers,Retail,"Menomonee Falls, Wisconsin"
Ness Digital Engineering,https://www.linkedin.com/company/ness-ses/,,"Ness Digital Engineering is a global provider of Intelligent Data and Software Engineering services, specializing in data, AI, and cloud-powered solutions that drive innovation and deliver measurable business outcomes. With over 25 years of engineering expertise and our proprietary data and software platforms...",Software Development,"New York, NY"
EPAM Systems,https://www.linkedin.com/company/epam-systems/,,"Since 1993, EPAM Systems, Inc. (NYSE: EPAM) has used its software engineering expertise to become a leading global provider of digital engineering, cloud...",IT Services and IT Consulting,"Newtown, PA"
NetSuite,https://www.linkedin.com/company/netsuite/,,Business Grows Here • Specialties: Financial Software,Software Development,"Austin, TX"
Pandora,https://www.linkedin.com/company/pandora/,," • Specialties: Software",Software Development,"Oakland, CA"
Experis,https://www.linkedin.com/company/experis/,,"Fueled by Passion, Measured by Impact • Specialties: Software and Cloud Engineering",IT Services and IT Consulting,"Milwaukee, WI"
Synopsys Inc,https://www.linkedin.com/company/synopsys/,,Our Technology.  Your Innovation • Specialties: Computer Software,Software Development,"Sunnyvale, California"
Motorola Solutions,https://www.linkedin.com/company/motorolasolutions/,,Motorola Solutions | Solving for safer • Specialties: Public Safety Software,Telecommunications,"Chicago, IL"
Domo,https://www.linkedin.com/company/domotalk/,,The AI and Data Products Platform • Specialties: Software,Software Development,"American Fork, UT"
Esri,https://www.linkedin.com/company/esri/,,"Esri is the global market leader in geographic information system (GIS) software, location intelligence, and mapping. Since 1969, we have supported customers with geographic science and geospatial analytics, what we call The Science of Where. We take a geographic approach to problem-solving, brought to life by modern...",Software Development,"Redlands, CA"
Sutherland,https://www.linkedin.com/company/sutherland-global/,,We are a leading global business and digital transformation partner. We work with iconic brands worldwide • Specialties: software as a service,IT Services and IT Consulting,"Pittsford (Rochester), NY"
Strategy,https://www.linkedin.com/company/strategy/,,"Strategy (Nasdaq: MSTR) is the first and largest Bitcoin treasury company, and the leading provider of universal semantic layer and AI+BI software...",Software Development,"Tysons Corner, VA"
Thoughtworks,https://www.linkedin.com/company/thoughtworks/,,"Global tech consultancy blending design, engineering and AI to help businesses thrive through innovation • Specialties: Software Defined Vehicles",Information Technology & Services,"Chicago, IL"
Valve corporation,https://www.linkedin.com/company/valve-corporation/,,"Valve is an entertainment software and technology company founded in 1996 and based in Bellevue, Washington. The company’s debut title, Half-Life, has won over 50 Game of the Year Awards and was named ""Best PC Game Ever""​ in the November 1999, October 2001, and April 2005 issues of PC Gamer, the world's best-selling...",Computer Games,"Bellevue, WA"
Mentor Graphics,https://www.linkedin.com/company/mentor_graphics/,,"Mentor Graphics® was a technology leader in electronic design automation (EDA), providing software and hardware design solutions that enable companies to develop better electronic products faster and more cost-effectively, that is now a part of the Siemens Digital Industries Software portfolio. https...",Software Development,"Wilsonville, OR"
Symphony Teleca,https://www.linkedin.com/company/symphony-teleca/,,"...and infotainment systems; enterprise automation solutions; and software services. With leading brands including AKG®, Harman Kardon®, Infinity®, JBL®, Lexicon®, Mark...",IT Services and IT Consulting,"Mountain View, CA"
ADP,https://www.linkedin.com/company/adp/,,Always Designing for People,Human Resources Services,"Roseland, New Jersey"
The Reynolds and Reynolds Company,https://www.linkedin.com/company/the-reynolds-and-reynolds-company/,,"Founded in Dayton, Ohio in 1866, Reynolds and Reynolds is a leading provider of automobile dealership software, services, and forms to help dealerships deliver better results and transform the customer experience.   Reynolds and Reynolds is headquartered in Dayton, Ohio, with major U.S. operations in Houston...",Software Development,"Dayton, OH"
The Associated Press,https://www.linkedin.com/company/associated-press/,,Advancing the power of facts. News and services that expand the reach of factual reporting • Specialties: Newsroom production software,Media Production,"New York, NY"
Cadence,https://www.linkedin.com/company/cadence/,,"Cadence is a market leader in AI and digital twins, pioneering the application of computational software to accelerate innovation in the engineering design of silicon to systems. Our design solutions, based on Cadence’s Intelligent System Design™ strategy, are essential for the world’s leading semiconductor...",Software Development,"San Jose, California"
American Eagle Outfitters Inc.,https://www.linkedin.com/company/american-eagle-outfitters/,,An iconic heritage of beloved brands and passionate people • Specialties: Software Development,Retail,"Pittsburgh, PA"
SAS,https://www.linkedin.com/company/sas/,,"SAS is a global leader in data and AI. With SAS software and industry-specific solutions, organizations transform data into trusted decisions. SAS gives you THE POWER TO KNOW®.",Software Development,"Cary, NC"
Bentley Systems,https://www.linkedin.com/company/bentley-systems/,,"Around the world, infrastructure professionals rely on software from Bentley Systems to help them design, build, and operate better and more resilient...",Software Development,"Exton, PA"
Sandisk,https://www.linkedin.com/company/sandisk/,,Specialties: Enterprise Software,Semiconductor Manufacturing,"Milpitas, CA"
Johnson Controls,https://www.linkedin.com/company/johnson-controls/,,"..., our comprehensive digital offering.    Today, Johnson Controls offers the world`s largest portfolio of building technology and software as well as service solutions...",Industrial Machinery Manufacturing,"Cork, Ireland"
NI (National Instruments),https://www.linkedin.com/company/niglobal/,,"...excellence, and sustainability. In this new chapter, we’ll build on our legacy and leadership in software-connected, automated test and measurement systems...","Appliances, Electrical, and Electronics Manufacturing","Austin , Texas"
Pegasystems,https://www.linkedin.com/company/pegasystems/,,Specialties: Business Process Management (BPM) Software,Software Development,"Waltham, Massachusetts"
SAP SuccessFactors,https://www.linkedin.com/company/sapsuccessfactors/,,Make every employee a success story • Specialties: Learning Management Software (LMS),Software Development,"South San Francisco, California"
Continental,https://www.linkedin.com/company/continental/,,Specialties: Software Development,Motor Vehicle Manufacturing,"Hannover, Lower Saxony"
GoPro,https://www.linkedin.com/company/gopro_3/,,Specialties: Software,Computers and Electronics Manufacturing,"San Mateo, CA"
Lynda.com,https://www.linkedin.com/company/lynda-com/,,Specialties: Software Training,E-Learning Providers,"Carpinteria, CA"
Insight,https://www.linkedin.com/company/insight/,,"Insight Enterprises is a leading Solutions Integrator that helps clients solve technology challenges by combining the right hardware, software, and services. As a Fortune 500 technology company, backed by 35+ years of expertise and a deep network of 6,000+ partners, we deliver secure, end-to-end IT solutions...",IT Services and IT Consulting,"Chandler, Arizona"
Ciena,https://www.linkedin.com/company/ciena/,,"...software, and services revolutionize data transmission and network management.",Telecommunications,"Hanover, Maryland"
Riverbed Technology,https://www.linkedin.com/company/riverbed-technology/,,Empower the Experience • Specialties: Software-defined wide area networks,Software Development,"San Francisco, California"
Mozilla,https://www.linkedin.com/company/mozilla-corporation/,,"....  Along with our communities of 20,000+ contributors and collaborators, Mozilla Corporation’s staff designs, builds, and distributes software that allows people...",Software Development,"San Francisco, CA"
"RealPage, Inc.",https://www.linkedin.com/company/realpage/,,RealPage is the leading global provider of AI-enabled software platforms to the real estate industry. By using RealPage solutions for operational excellence...,Software Development,"Richardson, Texas"
Palantir Technologies,https://www.linkedin.com/company/palantir-technologies/,,Software that dominates.,Software Development,"Denver, Colorado"
Trimble Inc.,https://www.linkedin.com/company/trimble/,,Confidence at every turn • Specialties: Software,Software Development,"Westminster, CO"
Nuance Communications,https://www.linkedin.com/company/nuance-communications/,,Specialties: software,Software Development,"Burlington, MA"
Collabera,https://www.linkedin.com/company/collabera/,,"Empowering innovation, building elite teams, and delivering impactful digital talent solutions • Specialties: Software Engineering Solutions",Information Technology & Services,"Basking Ridge, New Jersey"
SoftwareOne,https://www.linkedin.com/company/softwareone/,,"SoftwareOne is a global software and cloud solutions provider. With a presence in over 70 countries and a team of around 13,000 professionals, we combine...",IT Services and IT Consulting,Stans
Amdocs,https://www.linkedin.com/company/amdocs/,,"Who are we? Amdocs helps those who build the future to make it amazing. With our market-leading portfolio of software products and services, we unlock our customers’ innovative potential, empowering them to provide next-generation communication and media experiences for both the individual end user and enterprise...",Software Development,"Chesterfield, MO"
Crossover,https://www.linkedin.com/company/crossover/,,"The world's largest recruiter of remote full-time jobs, enabling world-class tech talent to qualify for elite jobs • Specialties: Software Development",IT Services and IT Consulting,"Austin, TX"
Citrix,https://www.linkedin.com/company/citrix/,,"A Business Unit of Cloud Software Group. Empowering companies to deploy secure, remote apps & desktops at any scale.",Software Development,"Fort Lauderdale, FL"
Nutanix,https://www.linkedin.com/company/nutanix/,,"Nutanix is a global leader in cloud software, offering organizations a single platform for running apps and data across clouds. With Nutanix, companies can reduce complexity and simplify operations, freeing them to focus on their business outcomes. Building on its legacy as the pioneer of hyperconverged infrastructure...",Software Development,"San Jose, California"
Box,https://www.linkedin.com/company/box/,,Power secure collaboration on one intelligent platform • Specialties: Enterprise Software,"Technology, Information and Internet","Redwood City, CA"
Diebold Nixdorf,https://www.linkedin.com/company/diebold/,,"We automate, digitize, and transform the way people bank and shop • Specialties: software",IT Services and IT Consulting,"North Canton, Ohio"
Amazon Lab126,https://www.linkedin.com/company/lab126/,,"We design and engineer devices like Fire tablets, Kindle e-readers, Amazon Fire TV, Amazon Echo, and more • Specialties: Software",Computers and Electronics Manufacturing,"Sunnyvale, CA"
Western Digital,https://www.linkedin.com/company/western-digital/,,Specialties: Software,Computer Hardware Manufacturing,"San Jose, CA"
Epicor,https://www.linkedin.com/company/epicor/,,We’re the essential partner to the world’s most essential businesses • Specialties: ERP Software,Software Development,"Austin, TX"
NASA Jet Propulsion Laboratory,https://www.linkedin.com/company/jet-propulsion-laboratory/,,"Bold, Inclusive, Trusted. Let's Dare Mighty Things Together. Visit http://jpl.jobs to explore our career opportunities • Specialties: software development",Defense and Space Manufacturing,"Pasadena, CA"
Avid,https://www.linkedin.com/company/avid-technology/,,Specialties: software,Software Development,"Burlington, MA"
Vista,https://www.linkedin.com/company/vistaprint/,,"VistaPrint, a Cimpress company, helps small businesses create custom, professional marketing products to stay connected • Specialties: Software Engineering",Software Development,"Waltham, MA"
Garmin,https://www.linkedin.com/company/garmin/,,Engineered on the inside for life on the outside • Specialties: Software Engineering,Computers and Electronics Manufacturing,"Olathe, KS"
Duolingo,https://www.linkedin.com/company/duolingo/,,Duolingo is the world's most popular way to learn a language • Specialties: Software Engineering,Software Development,"Pittsburgh, PA"
"Sonos, Inc.",https://www.linkedin.com/company/sonos-inc-/,,Brilliant sound your way • Specialties: software,Computers and Electronics Manufacturing,"Santa Barbara, CA"
Nabors Industries,https://www.linkedin.com/company/nabors-industries/,,Innovating the Future of Energy • Specialties: Drilling Software,Oil and Gas,"Houston, Texas"
MANTECH,https://www.linkedin.com/company/mantech/,,"...and military leaders face tough challenges in cyber, data collection & analysis, enterprise IT or systems and software engineering, they turn to MANTECH to get the job...",IT System Data Services,"Herndon, Virginia"
AutoZone,https://www.linkedin.com/company/autozone/,,Specialties: Automotive Repair Software,Retail,"Memphis, TN"
ACI Worldwide,https://www.linkedin.com/company/aci-worldwide/,,"ACI Worldwide, an original innovator in global payments technology, delivers transformative software solutions that power intelligent payments orchestration in real time so banks, billers, and merchants can drive growth, while continuously modernizing their payment infrastructures, simply and securely. With nearly 50...",Software Development,"Elkhorn, Nebraska"
Zebra Technologies,https://www.linkedin.com/company/zebra-technologies/,,Zebra builds hardware and software for the frontline—making work better every day.,IT Services and IT Consulting,"Lincolnshire, IL"
"FILD Search, LLC",https://www.linkedin.com/company/fildsearch/,,Recruiting. But Better • Specialties: Software,Staffing and Recruiting,"Phoenix, AZ"
Cornerstone OnDemand,https://www.linkedin.com/company/cornerstoneondemand/,,Cornerstone powers the #FutureReady workforce. Learn how we can help you unite people growth with business success • Specialties: HR software,Software Development,"Santa Monica, CA"
GQR,https://www.linkedin.com/company/gqrinsights/,,"GQR redefines total talent solutions, offering a bespoke blend of staffing, search, advisory, managed services, and cutting-edge software tailored to every employer's unique needs.  Our commitment to excellence and our proactive approach allows us to provide solutions that are not only effective today but scalable...",Staffing and Recruiting,"New York, NY"
TD SYNNEX North America,https://www.linkedin.com/company/tdsynnexnorthamerica/,,Specialties: software,IT Services and IT Consulting,"Clearwater, Florida"
eInfochips (An Arrow Company),https://www.linkedin.com/company/einfochips/,,"..., Physical Design & DFT  Embedded systems engineering services: Hardware Design, System Software, System Verification & Validation, Multimedia  Software engineering services: Cloud Enablement, IoT & Mobility, Application Software, QA and Test Automation, BI and Data Visualization Extended services: New Product...",IT Services and IT Consulting,"San Jose, California"
Infor,https://www.linkedin.com/company/infor/,,Growing with your business - software that builds successful companies.,Software Development,"New York, NY"
Dana Incorporated,https://www.linkedin.com/company/dana-incorporated/,,Specialties: Software and Controls,Motor Vehicle Manufacturing,"Maumee, Ohio"
IDEXX,https://www.linkedin.com/company/idexx-laboratories/,,"..., a growing market around the world. Our products, in-clinic diagnostic tests and instrumentation, practice management and software solutions, and reference...",Biotechnology Research,"Westbrook, Maine"
Evernote,https://www.linkedin.com/company/evernote/,,Remember Everything. Accomplish Anything • Specialties: Software,Software Development,"San Diego, California"
Commvault,https://www.linkedin.com/company/commvault/,,"Commvault is the gold standard in cyber resilience, helping customers prevail against ransomware at the lowest TCO • Specialties: Enterprise Software",Data Security Software Products,"Tinton Falls, NJ"
Rockwell Automation,https://www.linkedin.com/company/rockwell-automation/,,"At Rockwell Automation, we connect the imaginations of people with the potential of technology to expand what is humanly possible, making the world more intelligent, more connected and more productive.   Throughout the world, our flagship Allen-Bradley® and Rockwell Software® product brands are recognized...",Automation Machinery Manufacturing,"Milwaukee, WI"
Oil & Gas Jobs by Rigzone,https://www.linkedin.com/company/rigzone/,,"Follow for the latest energy jobs, career events, news, insights & data.  Create your profile today and be discovered! • Specialties: Recruitment software",Oil and Gas,"Houston, TX"
Intuit,https://www.linkedin.com/company/intuit/,,The platform that helps connect you to the money you deserve with less work and achieve financial confidence.,Software Development,"Mountain View, California"
McGraw Hill,https://www.linkedin.com/company/mcgraw-hill-education/,,Find your path to what’s possible • Specialties: Software,Education Administration Programs,"New York, NY"
McKesson Health IT,https://www.linkedin.com/company/mckesson-technology-solutions/,,Specialties: Healthcare IT Software & Services,IT Services and IT Consulting,"Nashville, TN"
OpenStack,https://www.linkedin.com/company/openstack/,,OpenStack is an open source software project Hosted by the OpenInfra Foundation for creating private and public clouds. Over 300 OpenStack-powered public cloud...,Software Development,
Sun Microsystems,https://www.linkedin.com/company/sun-microsystems_1062/,,"Sun Microsystems, Inc. is a wholly owned subsidiary of Oracle Corporation. Oracle Corporation, an enterprise software company, engages in the development, manufacture, distribution, servicing, and marketing of database, middleware, and application software worldwide. With the acquisition of Sun Microsystems, Oracle...",IT Services and IT Consulting,"Palo Alto, CA"
EFI,https://www.linkedin.com/company/efiprint/,,Inspiring the world with spectacular imagery on any material • Specialties: Business Automation & Workflow Software,Printing Services,"Londonderry, NH"
Blizzard Entertainment,https://www.linkedin.com/company/blizzard-entertainment/,,"Blizzard Entertainment is a premier developer and publisher of entertainment software. After establishing the Blizzard Entertainment label in 1994, the company quickly became one of the most popular and well-respected makers of computer games. By focusing on creating well-designed, highly enjoyable entertainment...",Entertainment Providers,"Irvine, CA"
Nexteer Automotive,https://www.linkedin.com/company/nexteer-automotive/,,"...and software solutions.   We solve motion control challenges across all megatrends – including electrification, software/connectivity, ADAS/automated driving...",Motor Vehicle Manufacturing,"Auburn Hills, Michigan"
Atmel Corporation,https://www.linkedin.com/company/atmel-corporation/,,Specialties: Embedded Software - Studio 6,Semiconductor Manufacturing,"San Jose, CA"
Nokia,https://www.linkedin.com/company/nokia/,,"Nokia is a global leader in connectivity, advancing fixed, mobile, and transport networks for the AI era • Specialties: Software and Services",Telecommunications,"Espoo, Southern Finland"
Wiley,https://www.linkedin.com/company/john-wiley-and-sons/,,Specialties: Software Development,Book and Periodical Publishing,"Hoboken, NJ"
Fluke Corporation,https://www.linkedin.com/company/fluke-corporation/,,"Fluke Corporation, a wholly owned subsidiary of Fortive Corporation (NYSE: FTV), is the world leader in the manufacture, distribution and service of electronic test tools and software.  Fluke is proud to be one of Fortive’s 10 operating companies. Fortive is a diverse global team working together to deliver essential...","Appliances, Electrical, and Electronics Manufacturing","Everett, WA"
"LSI, an Avago Technologies Company",https://www.linkedin.com/company/lsi-corporation/,,"Specialties: Storage Silicon, Software, and Solutions",Semiconductor Manufacturing,"San Jose, CA"
iCIMS,https://www.linkedin.com/company/icims/,,Specialties: HR Software,Software Development,"Holmdel, New Jersey"
Dolby Laboratories,https://www.linkedin.com/company/dolbylaboratories/,,Music. Movies. TV. Gaming. In Dolby • Specialties: Software,Computers and Electronics Manufacturing,"San Francisco, California"
SHI International Corp.,https://www.linkedin.com/company/shi-international-corp-/,,"...for you, or searching for ways to optimize your software portfolio, our friendly 6,000-person team is ready to solve what’s next for your organization.   Our in-house...",IT Services and IT Consulting,"Somerset, NJ"
World Wide Technology,https://www.linkedin.com/company/world-wide-technology/,,"Combining strategy and execution to help organizations accelerate growth. Together, let's Make a New World Happen • Specialties: Software Development",IT Services and IT Consulting,"Maryland Heights, Missouri"
Wipro,https://www.linkedin.com/company/wipro/,,Specialties: Software application management,IT Services and IT Consulting,"Bangalore, Karnataka"
ARRIS,https://www.linkedin.com/company/arris/,,"ARRIS International plc (NASDAQ: ARRS) is powering a smart, connected world. The company's leading hardware, software and services transform the way that people and businesses stay informed, entertained and connected. For more information, visit www.arris.com.  For the latest ARRIS news:  Check out our blog: ARRIS...",Telecommunications,"Suwanee, Georgia"
American Bureau of Shipping (ABS),https://www.linkedin.com/company/american-bureau-of-shipping/,,Specialties: Software,Maritime Transportation,"Spring, Texas"
GlobalLogic,https://www.linkedin.com/company/globallogic/,,...Services 2024 U.S. report Everest Group's Software Product Engineering Services Peak Matrix 2024 Star Performer in Major Contender in Everest Group’s Trust...,Software Development,"Santa Clara, CA"
Prezi,https://www.linkedin.com/company/prezi/,,"Prezi allows you to create attention-grabbing presentations. Now, Prezi AI gives you your best presentations in minutes • Specialties: Presentation Software",Software Development,"Oakland, California"
VIAVI Solutions,https://www.linkedin.com/company/viavi-solutions/,,"Specialties: Software and hardware platforms and instruments  for physical, virtual and hybrid networks",Telecommunications,"Chandler, Arizona"
Accel,https://www.linkedin.com/company/accel-vc/,,Specialties: Enterprise Software & Services,Venture Capital and Private Equity Principals,"Palo Alto, CA"
HCLTech,https://www.linkedin.com/company/hcltech/,,"HCLTech is a global technology company, home to more than 226,600 people across 60 countries, delivering industry-leading capabilities centered around AI, digital, engineering, cloud and software, powered by a broad portfolio of technology services and products. We work with clients across all major verticals...",IT Services and IT Consulting,"Noida, Uttar Pradesh"
PubMatic,https://www.linkedin.com/company/pubmatic/,,PubMatic (Nasdaq: PUBM) is an independent technology company delivering digital advertising’s supply chain of the future • Specialties: marketing automation software,"Technology, Information and Internet","Redwood City, CA"
Experian,https://www.linkedin.com/company/experian/,,"...combination of data, analytics and software. We also assist millions of people to realise their financial goals and help them to save time and money. We operate...",Information Services,"Costa Mesa, CA"
CWT,https://www.linkedin.com/company/mycwt/,,"American Express Global Business Travel (Amex GBT) is a leading software and services company for travel, expense, and meetings & events. We have built the most valuable marketplace in travel with the most comprehensive and competitive content. A choice of solutions brought to you through a strong combination...",Travel Arrangements,"Minnetonka, Minnesota"
TIBCO,https://www.linkedin.com/company/tibco/,,"A Business Unit of Cloud Software Group. Unlocking the potential of real-time data for making faster, smarter decisions.",Software Development,"Santa Clara, California"
Franklin Templeton,https://www.linkedin.com/company/franklin-templeton/,,"...unaffiliated with us. We are not responsible for LinkedIn’s privacy, security, or terms of use policies that control this service, nor their content, software, or tools (or those of any third party’s) that are available through links from this page. You use any third-party site/media, software and materials...",Financial Services,"San Mateo, California"
Project One,https://www.linkedin.com/company/project-one-inc-/,,We are now Eliassen Group • Specialties: software development,Staffing and Recruiting,"Reading, Massachusetts"
Square,https://www.linkedin.com/company/joinsquare/,,"Since we opened our doors in 2009, the world of commerce has evolved immensely, and so has Square. After enabling anyone to take payments and never miss a sale, we saw sellers stymied by disparate, outmoded products and tools that wouldn’t work together.  So we expanded into software and started building integrated...",Software Development,"San Francisco, CA"
Avery Dennison,https://www.linkedin.com/company/avery-dennison/,,"...frequency identification (RFID) inlays and tags, software applications that connect the physical and digital, and offerings that carry information that improves...",Packaging and Containers Manufacturing,"Mentor, Ohio"
"Bluewolf, an IBM Company",https://www.linkedin.com/company/bluewolf-an-ibm-company/,,Specialties: Enterprise Software,IT Services and IT Consulting,"New York, New York"
Bloomberg BNA,https://www.linkedin.com/company/bloomberg-bna/,,Specialties: software,Information Services,"Arlington, Virginia"
Cvent,https://www.linkedin.com/company/cvent/,,,Software Development,"Tysons Corner, VA"
BT Group,https://www.linkedin.com/company/bt/,,Specialties: Software Defined Networking,Telecommunications,London
Zynga,https://www.linkedin.com/company/zynga/,,"...Interactive Software, Inc.   With a massive global reach in more than 175 countries and regions, the combined diverse portfolio of popular game franchises...",Computer Games,"San Francisco, California"
Fujitsu,https://www.linkedin.com/company/fujitsu/,,Specialties: Software,IT Services and IT Consulting,
Polycom,https://www.linkedin.com/company/polycom/,,"Plantronics and Polycom are now Poly.  Our comprehensive set of smart endpoints for unified collaboration span personal and group communication systems, with a full range of headsets, desk and conference phones, and video collaboration solutions. Our cloud software and services provide advanced management, analytics...",Telecommunications,"San Jose, California"
Xilinx,https://www.linkedin.com/company/xilinx/,,"Xilinx was founded in Silicon Valley in 1984 and was the inventor of the FPGA and Adaptive SoCs. Xilinx’s highly flexible, programmable silicon, enabled by a suite of advanced software and tools, drove rapid innovation across a wide span of industries and technologies. Xilinx delivered the most dynamic processing...",Semiconductor Manufacturing,"San Jose, CA"
Analog Devices,https://www.linkedin.com/company/analog-devices/,,"Analog Devices, Inc. (NASDAQ: ADI) is a global semiconductor leader that bridges the physical and digital worlds to enable breakthroughs at the Intelligent Edge. ADI combines analog, digital, AI, and software technologies into solutions that help drive advancements in automation and robotics, mobility, energy and data...",Semiconductor Manufacturing,"Wilmington, MA"
Logitech,https://www.linkedin.com/company/logitech/,,"At Logitech, our purpose is to extend human potential in work and play.  We do this by designing software-enabled hardware solutions that drive superior performance when gaming and superior productivity while at work, all with maximum comfort, speed and accuracy. We enable creativity when pursuing passions...",Computers and Electronics Manufacturing,"San Jose, California"
ABB,https://www.linkedin.com/company/abb/,,"ABB is a technology leader in electrification and automation, enabling a more sustainable and resource-efficient future. The company’s solutions connect engineering know-how and software to optimize how things are manufactured, moved, powered and operated. Building on over 140 years of excellence, ABB’s...",Automation Machinery Manufacturing,"Zurich, ZH"
Visteon Corporation,https://www.linkedin.com/company/visteon/,,"Visteon is advancing mobility through innovative technology solutions that enable a software-defined and electric future. With next-generation digital cockpit and electrification products, Visteon leverages the strength and agility of its global network with a local footprint to deliver a cleaner, safer...",Motor Vehicle Manufacturing,"Van Buren Township, MI"
MathWorks,https://www.linkedin.com/company/the-mathworks_2/,,"MathWorks is the leading developer of mathematical computing software. Engineers and scientists worldwide rely on its products to accelerate the pace of discovery, innovation, and development.   MATLAB, the language of technical computing, is a programming environment for algorithm development, data analysis...",Software Development,"Natick, MA"
Carestream,https://www.linkedin.com/company/carestream-health/,,"Carestream's products make a difference every day.  Carestream Health is a worldwide imaging company. We provide digital X-ray products and X-ray film for the medical and non-destructive testing market worldwide. We also provide product, technical, and service support, including remote equipment and software...",Medical Equipment Manufacturing,"Rochester, NY"
Huawei,https://www.linkedin.com/company/huawei/,,,Telecommunications,"Shenzhen, Guangdong"
HARMAN International,https://www.linkedin.com/company/harman-international/,,"Harman International is a global leader in automotive technology, lifestyle innovations, design and analytics.",Computers and Electronics Manufacturing,"Stamford, Connecticut"
Varian,https://www.linkedin.com/company/varian-medical-systems/,,"..., we support every step of the cancer care journey – from screening to survivorship. From advanced imaging and radiation therapy, to comprehensive software...",Medical Device,"Palo Alto, CA"
BlackBerry,https://www.linkedin.com/company/blackberry/,,Specialties: Software,Software Development,"Waterloo, Ontario"
FactSet,https://www.linkedin.com/company/factset/,,"FactSet creates flexible, open data and software solutions for tens of thousands of investment professionals around the world, providing instant access to financial data and analytics that investors use to make crucial decisions.   For 40 years, through market changes and technological progress, our focus has always...",Financial Services,"Norwalk, Connecticut"
Kronos Incorporated,https://www.linkedin.com/company/kronos/,,"Built from the merger of Ultimate Software & Kronos Inc, we are now UKG. We provide global HCM, payroll and workforce management solutions.    UKG is an Equal Opportunity Employer.",Software Development,"Lowell, MA"
IPsoft,https://www.linkedin.com/company/ipsoft/,,...levels of success in the dynamic and data-driven business landscape. Our custom software development and managed services offerings are intended to complement...,IT Services and IT Consulting,"New York, NY"
"USA TODAY Co., Inc.",https://www.linkedin.com/company/usatodayco/,,"...Kingdom. Our digital marketing solutions brand, LocaliQ, uses innovation and software to enable small and medium-sized businesses to grow, and USA TODAY...",Newspaper Publishing,"New York, NY"
Tata Consultancy Services,https://www.linkedin.com/company/tata-consultancy-services/,,"...adaptive enterprises, staying ahead in an ever changing digital landscape. Recognized for excellence in software development, we rapidly apply and scale new...",IT Services and IT Consulting,"Mumbai, Maharashtra"
Globant,https://www.linkedin.com/company/globant/,,"....  - We are active members of The Green Software Foundation (GSF) and the Cybersecurity Tech Accord.  For more information, visit https://bit.ly/globant_com  Follow us...",IT Services and IT Consulting,"San Francisco, CA"
CDK Global,https://www.linkedin.com/company/cdknorthamerica/,,"CDK Global is a leading provider of retail technology and software as a service (SaaS) solutions that help dealers and auto manufacturers run their businesses more efficiently, drive improved profitability and create frictionless purchasing and ownership experiences for consumers. Today, CDK serves nearly 15,000...",Software Development,"Austin, Texas"
Hearst,https://www.linkedin.com/company/hearst/,,...of software-as-a-service solutions for managing the maintenance of jets and helicopters; 35 television stations; 24 daily and 52 weekly newspapers; more than 200...,Media Production,"New York, NY"
Mavenir,https://www.linkedin.com/company/mavenir/,,"Mavenir is enabling intelligent, automated, programmable networks through the development of telco-first, cloud-native, AI-by-design software solutions...",Software Development,"Richardson, Texas"
Heartland,https://www.linkedin.com/company/heartland-payment-systems/,,"Global Payments Inc. (NYSE: GPN), a leading worldwide provider of payment technology and software solutions, announced the unification of its technology stack under a single brand, Genius, providing a seamless, integrated experience for customers. Heartland, a Global Payments company, previously offered a suite...",Financial Services,"Oklahoma City, Oklahoma"
TravelClick,https://www.linkedin.com/company/travelclick/,,"TravelClick has been acquired by Amadeus, a global leader in innovative hospitality software solutions.",Hospitality,"New York, NY"
GitHub,https://www.linkedin.com/company/github/,,The home of software development,Software Development,"San Francisco, CA"
Waters Corporation,https://www.linkedin.com/company/waters/,,"Waters Corporation is a global leader in analytical instruments, separations technologies, and software, serving the life, materials, food, and environmental sciences for over 65 years.   Our products ensure the safety of the medicines we take, the purity of the food we eat and the water we drink, and the quality...",Biotechnology Research,"Milford, MA"
2K,https://www.linkedin.com/company/2k-games/,,"...Software, Hangar 13, HB Studios and Visual Concepts.   2K’s portfolio currently includes several AAA, sports and entertainment brands, including global powerhouse...",Computer Games,"Novato, California"
